,date,year,month,day,time_of_day,damage_level,damage_level_sort,flight_phase,state,airport,operator,speed,aircraft_model,bird_size,species
0,1990-01-08,1990,1,8,Day,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,300.0,T-38A,Large,Turkey vulture
1,1990-01-09,1990,1,9,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,200.0,KC-10A,Medium,Unknown bird or bat
2,1990-01-11,1990,1,11,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,130.0,B-52,Medium,Unknown bird or bat
3,1990-01-11,1990,1,11,Day,Substantial,4,Take-off run,Louisiana,NEW ORLEANS INTL,SOUTHWEST AIRLINES,140.0,B-737-300,Small,Rock pigeon
4,1990-01-12,1990,1,12,Day,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,160.0,KC-10A,Medium,Unknown bird or bat
5,1990-02-02,1990,2,2,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,180.0,KC-10A,Medium,Unknown bird or bat
6,1990-02-06,1990,2,6,Dusk,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,140.0,KC-10A,Medium,Unknown bird or bat
7,1990-02-22,1990,2,22,Night,None,1,Approach,DC,WASHINGTON DULLES INTL ARPT,FEDEX EXPRESS,190.0,B-727,Large,Unknown bird - large
8,1990-03-01,1990,3,1,Day,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,180.0,KC-10A,Medium,Unknown bird or bat
9,1990-03-02,1990,3,2,Dusk,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,130.0,B-52,Medium,Unknown bird or bat
10,1990-03-03,1990,3,3,Day,Medium,3,Climb,DC,WASHINGTON DULLES INTL ARPT,AIR WISCONSIN AIRLINES,180.0,BA-146,Large,Unknown bird - large
11,1990-03-08,1990,3,8,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,B-52,Medium,Unknown bird or bat
12,1990-03-09,1990,3,9,Night,None,1,Approach,DC,RONALD REAGAN WASHINGTON NATL,MILITARY,200.0,C-141B,Medium,Unknown bird - medium
13,1990-03-09,1990,3,9,Night,None,1,Approach,South Carolina,CHARLESTON AFB/INTL ARPT,MILITARY,190.0,C-141B,Medium,Unknown bird or bat
14,1990-03-09,1990,3,9,Night,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,B-52,Medium,Unknown bird or bat
15,1990-03-13,1990,3,13,Day,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,250.0,A-10A,Medium,Unknown bird or bat
16,1990-03-19,1990,3,19,Dusk,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,KC-10A,Medium,Unknown bird or bat
17,1990-03-22,1990,3,22,Day,Minor,2,Climb,Missouri,LAMBERT-ST LOUIS INTL,TRANS STATES AIRLINES,160.0,SA227 AC METRO III,Small,European starling
18,1990-04-04,1990,4,4,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,135.0,KC-10A,Medium,Unknown bird or bat
19,1990-04-07,1990,4,7,Day,Substantial,4,Take-off run,New York,LAGUARDIA NY,US AIRWAYS*,,B-737-400,Large,Canada goose
20,1990-04-07,1990,4,7,Dusk,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,120.0,KC-10A,Medium,Unknown bird or bat
21,1990-04-09,1990,4,9,Day,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,210.0,KC-10A,Medium,Unknown bird or bat
22,1990-04-15,1990,4,15,Day,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,180.0,KC-10A,Medium,Unknown bird or bat
23,1990-04-16,1990,4,16,Dawn,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,KC-10A,Medium,Unknown bird or bat
24,1990-04-18,1990,4,18,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,140.0,KC-10A,Medium,Unknown bird or bat
25,1990-04-19,1990,4,19,Day,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,180.0,KC-10A,Medium,Unknown bird or bat
26,1990-04-19,1990,4,19,Night,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,140.0,KC-135,Medium,Unknown bird or bat
27,1990-04-19,1990,4,19,Day,None,1,Approach,Louisiana,NEW ORLEANS INTL,AMERICAN AIRLINES,235.0,B-727,Small,Unknown bird - small
28,1990-04-20,1990,4,20,Day,None,1,Approach,North Carolina,CHARLOTTE/DOUGLAS INTL ARPT,UNKNOWN,105.0,BE-58  BARON,Medium,Unknown bird - medium
29,1990-04-23,1990,4,23,Dawn,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,190.0,KC-10A,Medium,Unknown bird or bat
30,1990-04-23,1990,4,23,Night,None,1,Take-off run,South Carolina,CHARLESTON AFB/INTL ARPT,MILITARY,160.0,C-141B,Medium,Unknown bird or bat
31,1990-04-24,1990,4,24,Day,None,1,Approach,South Carolina,CHARLESTON AFB/INTL ARPT,MILITARY,200.0,C-141B,Medium,Unknown bird or bat
32,1990-04-25,1990,4,25,Dusk,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,140.0,B-52,Medium,Unknown bird or bat
33,1990-04-25,1990,4,25,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,170.0,KC-10A,Medium,Unknown bird or bat
34,1990-04-26,1990,4,26,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,180.0,KC-135,Medium,Unknown bird or bat
35,1990-04-27,1990,4,27,Day,None,1,Climb,California,LOS ANGELES INTL,US AIRWAYS*,230.0,B-737-300,Medium,Unknown bird - medium
36,1990-04-27,1990,4,27,Night,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,,B-727,Medium,Unknown bird - medium
37,1990-04-28,1990,4,28,Night,None,1,Approach,Oregon,PORTLAND INTL (OR),AMERICAN AIRLINES,127.0,B-727,Medium,Unknown bird - medium
38,1990-04-29,1990,4,29,Night,Medium,3,Approach,DC,WASHINGTON DULLES INTL ARPT,AMERICAN AIRLINES,250.0,B-727,Medium,Unknown bird - medium
39,1990-04-30,1990,4,30,Day,Substantial,4,Take-off run,Florida,FORT LAUDERDALE/HOLLYWOOD INTL,US AIRWAYS*,140.0,B-737-400,Small,Unknown bird - small
40,1990-05-01,1990,5,1,Night,None,1,Climb,Illinois,CHICAGO O'HARE INTL ARPT,UNITED AIRLINES,120.0,B-727,Large,White-tailed deer
41,1990-05-01,1990,5,1,Day,None,1,Approach,Texas,HOUSTON-HOBBY,SOUTHWEST AIRLINES,124.0,B-737-500,Small,Unknown bird - small
42,1990-05-02,1990,5,2,Night,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,130.0,B-767-200,Medium,Unknown bird - medium
43,1990-05-03,1990,5,3,Night,None,1,Descent,Texas,SAN ANTONIO INTL,SOUTHWEST AIRLINES,320.0,B-737-200,Small,Unknown bird - small
44,1990-05-05,1990,5,5,Night,None,1,Approach,California,SACRAMENTO INTL,AMERICAN AIRLINES,260.0,MD-80,Medium,Unknown bird - medium
45,1990-05-05,1990,5,5,Day,None,1,Approach,Oklahoma,WILL ROGERS WORLD ARPT,AMERICAN AIRLINES,150.0,B-727-200,Small,Unknown bird - small
46,1990-05-05,1990,5,5,Night,None,1,Approach,Georgia,ATLANTA INTL,DELTA AIR LINES,180.0,B-767,Small,Unknown bird - small
47,1990-05-07,1990,5,7,Day,Minor,2,Descent,Indiana,INDIANAPOLIS INTL,BUSINESS,160.0,BE-90  KING,Medium,Unknown bird - medium
48,1990-05-07,1990,5,7,Day,None,1,Descent,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,240.0,MD-80,Medium,Unknown bird - medium
49,1990-05-08,1990,5,8,Night,None,1,Approach,Missouri,KANSAS CITY INTL,MILITARY,180.0,E-4B,Medium,Unknown bird - medium
50,1990-05-08,1990,5,8,Day,None,1,Take-off run,California,MINETA SAN JOSE INTL,AMERICAN AIRLINES,135.0,MD-80,Small,American robin
51,1990-05-10,1990,5,10,Day,None,1,Approach,California,METRO OAKLAND INTL,AMERICAN AIRLINES,135.0,MD-82,Medium,Unknown bird - medium
52,1990-05-10,1990,5,10,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,220.0,KC-10A,Medium,Unknown bird or bat
53,1990-05-11,1990,5,11,Night,None,1,Climb,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,250.0,MD-82,Medium,Unknown bird - medium
54,1990-05-13,1990,5,13,Day,None,1,Approach,Tennessee,NASHVILLE INTL,AMERICAN AIRLINES,140.0,B-727,Small,Unknown bird - small
55,1990-05-13,1990,5,13,Day,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,160.0,B-727-200,Small,Unknown bird - small
56,1990-05-13,1990,5,13,Day,None,1,Climb,Tennessee,NASHVILLE INTL,AMERICAN AIRLINES,160.0,MD-80,Small,European starling
57,1990-05-13,1990,5,13,Day,None,1,Landing Roll,Minnesota,MINNEAPOLIS-ST PAUL INTL,AMERICAN AIRLINES,100.0,DC-9,Small,American robin
58,1990-05-14,1990,5,14,Night,None,1,Descent,Oregon,PORTLAND INTL (OR),AMERICAN AIRLINES,200.0,MD-80,Medium,Unknown bird - medium
59,1990-05-14,1990,5,14,Night,None,1,Approach,Missouri,LAMBERT-ST LOUIS INTL,AMERICAN AIRLINES,140.0,MD-80,Small,Unknown bird - small
60,1990-05-15,1990,5,15,Day,None,1,Take-off run,Illinois,CHICAGO O'HARE INTL ARPT,MILITARY,150.0,KC-135E,Large,Coyote
61,1990-05-15,1990,5,15,Day,None,1,Climb,Illinois,CHICAGO O'HARE INTL ARPT,MILITARY,120.0,C-130,Medium,Unknown bird - medium
62,1990-05-15,1990,5,15,Day,None,1,Landing Roll,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,135.0,B-727-200,Medium,American crow
63,1990-05-15,1990,5,15,Day,None,1,Landing Roll,Utah,SALT LAKE CITY INTL,MILITARY,150.0,KC-135E,Small,Common nighthawk
64,1990-05-16,1990,5,16,Day,None,1,Landing Roll,Hawaii,HONOLULU INTL ARPT,ALOHA AIRLINES,70.0,B-737,Large,Unknown bird - large
65,1990-05-16,1990,5,16,Day,None,1,Approach,Texas,AUSTIN-BERGSTROM INTL,SOUTHWEST AIRLINES,140.0,B-737-200,Small,Unknown bird - small
66,1990-05-18,1990,5,18,Night,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,122.0,B-727,Small,American robin
67,1990-05-19,1990,5,19,Night,None,1,Approach,Missouri,LAMBERT-ST LOUIS INTL,AMERICAN AIRLINES,140.0,MD-80,Small,Unknown bird - small
68,1990-05-20,1990,5,20,Night,None,1,Approach,DC,RONALD REAGAN WASHINGTON NATL,AMERICAN AIRLINES,120.0,B-757-200,Small,Unknown bird - small
69,1990-05-22,1990,5,22,Night,None,1,Approach,California,SACRAMENTO INTL,UNITED AIRLINES,140.0,B-737-300,Small,Unknown bird - small
70,1990-05-22,1990,5,22,Night,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,140.0,B-727-200,Small,Unknown bird - small
71,1990-05-23,1990,5,23,Day,None,1,Take-off run,California,SAN FRANCISCO INTL ARPT,DELTA AIR LINES,150.0,B-767,Medium,Unknown bird - medium
72,1990-05-24,1990,5,24,Day,None,1,Approach,South Carolina,CHARLESTON AFB/INTL ARPT,MILITARY,250.0,C-141B,Medium,Unknown bird or bat
73,1990-05-24,1990,5,24,Night,None,1,Approach,Texas,HOUSTON-HOBBY,SOUTHWEST AIRLINES,250.0,B-737-300,Small,Unknown bird - small
74,1990-05-26,1990,5,26,Day,None,1,Descent,Missouri,LAMBERT-ST LOUIS INTL,TRANS WORLD AIRLINES,160.0,L-1011,Medium,Unknown bird - medium
75,1990-05-26,1990,5,26,Day,None,1,Take-off run,Texas,HOUSTON-HOBBY,SOUTHWEST AIRLINES,,B-737,Medium,Unknown bird - medium
76,1990-05-26,1990,5,26,Night,None,1,Climb,Ohio,CLEVELAND-HOPKINS INTL ARPT,EXPRESSJET (CONTINENTAL EXPRS),180.0,EMB-120,Medium,Unknown bird - medium
77,1990-05-26,1990,5,26,Day,None,1,Approach,Tennessee,NASHVILLE INTL,AMERICAN AIRLINES,170.0,B-727-200,Small,Unknown bird - small
78,1990-05-27,1990,5,27,Day,None,1,Approach,California,SACRAMENTO INTL,UNITED AIRLINES,140.0,B-737-300,Medium,Mallard
79,1990-05-27,1990,5,27,Night,None,1,Climb,Kentucky,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,US AIRWAYS*,180.0,DC-9-30,Medium,Unknown bird - medium
80,1990-05-27,1990,5,27,Day,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,170.0,MD-80,Small,American robin
81,1990-05-29,1990,5,29,Night,None,1,Approach,Kentucky,LOUISVILLE INTL ARPT,TRANS WORLD AIRLINES,130.0,DC-9-10,Medium,Unknown bird - medium
82,1990-05-29,1990,5,29,Night,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,130.0,KC-10A,Medium,Unknown bird or bat
83,1990-05-29,1990,5,29,Night,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,135.0,KC-10A,Medium,Unknown bird or bat
84,1990-05-29,1990,5,29,Day,None,1,Climb,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,160.0,B-727-200,Small,European starling
85,1990-05-30,1990,5,30,Day,None,1,Approach,Louisiana,NEW ORLEANS INTL,SOUTHWEST AIRLINES,130.0,B-737-200,Small,Unknown bird - small
86,1990-05-30,1990,5,30,Day,None,1,Landing Roll,Missouri,LAMBERT-ST LOUIS INTL,BUSINESS,140.0,GULFAERO IV,Small,European starling
87,1990-05-31,1990,5,31,Day,None,1,Approach,Missouri,LAMBERT-ST LOUIS INTL,SOUTHWEST AIRLINES,135.0,B-737-300,Small,Unknown bird - small
88,1990-05-31,1990,5,31,Day,None,1,Take-off run,Kentucky,LOUISVILLE INTL ARPT,UPS AIRLINES,120.0,DC-8,Small,Unknown bird - small
89,1990-06-01,1990,6,1,Day,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,146.0,B-52,Medium,Unknown bird or bat
90,1990-06-01,1990,6,1,Day,None,1,Landing Roll,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,120.0,DC-10,Small,European starling
91,1990-06-04,1990,6,4,Night,None,1,Descent,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,210.0,MD-80,Small,Unknown bird - small
92,1990-06-05,1990,6,5,Day,None,1,Climb,Oklahoma,WILL ROGERS WORLD ARPT,AMERICAN AIRLINES,180.0,MD-80,Small,Rock pigeon
93,1990-06-06,1990,6,6,Night,None,1,Approach,Missouri,LAMBERT-ST LOUIS INTL,SOUTHWEST AIRLINES,210.0,B-737-200,Small,Unknown bird - small
94,1990-06-07,1990,6,7,Day,None,1,Landing Roll,Pennsylvania,GREATER PITTSBURGH,MILITARY,120.0,A-7,Medium,Unknown bird or bat
95,1990-06-07,1990,6,7,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,200.0,KC-10A,Medium,Unknown bird or bat
96,1990-06-07,1990,6,7,Day,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,210.0,MD-80,Small,Unknown bird - small
97,1990-06-08,1990,6,8,Day,None,1,Approach,California,METRO OAKLAND INTL,SOUTHWEST AIRLINES,135.0,B-737-200,Small,Unknown bird - small
98,1990-06-09,1990,6,9,Day,None,1,Approach,Tennessee,NASHVILLE INTL,AMERICAN AIRLINES,136.0,B-727-200,Small,Unknown bird - small
99,1990-06-09,1990,6,9,Day,None,1,Take-off run,Maryland,BALTIMORE WASH INTL,PSA AIRLINES,130.0,BA-31 JETSTR,Small,Unknown bird - small
100,1990-06-11,1990,6,11,Day,None,1,Landing Roll,Pennsylvania,GREATER PITTSBURGH,UNITED AIRLINES,,B-727,Small,Unknown bird - small
101,1990-06-12,1990,6,12,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,KC-10A,Medium,Unknown bird or bat
102,1990-06-12,1990,6,12,Day,None,1,Approach,Oklahoma,WILL ROGERS WORLD ARPT,SOUTHWEST AIRLINES,135.0,B-737-300,Small,Mourning dove
103,1990-06-14,1990,6,14,Night,None,1,Approach,Texas,SAN ANTONIO INTL,AMERICAN AIRLINES,250.0,DC-10-10,Medium,Unknown bird - medium
104,1990-06-14,1990,6,14,Day,None,1,Landing Roll,Kentucky,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,US AIRWAYS*,120.0,DC-9-30,Small,American robin
105,1990-06-14,1990,6,14,Dusk,None,1,Landing Roll,Tennessee,NASHVILLE INTL,AMERICAN AIRLINES,85.0,B-727-100,Small,American robin
106,1990-06-17,1990,6,17,Night,Medium,3,Climb,Oklahoma,WILL ROGERS WORLD ARPT,SOUTHWEST AIRLINES,180.0,B-737-200,Medium,Unknown bird - medium
107,1990-06-18,1990,6,18,Dawn,None,1,Approach,Massachusetts,LOGAN INTL,AMERICA WEST AIRLINES,130.0,B-757-200,Medium,Herring gull
108,1990-06-19,1990,6,19,Night,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,130.0,KC-10A,Medium,Unknown bird or bat
109,1990-06-19,1990,6,19,Day,None,1,Approach,Pennsylvania,GREATER PITTSBURGH,AMERICAN AIRLINES,130.0,MD-80,Small,Unknown bird - small
110,1990-06-20,1990,6,20,Day,None,1,Take-off run,California,SAN FRANCISCO INTL ARPT,UNITED AIRLINES,140.0,DC-8-70,Medium,Unknown bird - medium
111,1990-06-21,1990,6,21,Day,None,1,Approach,Florida,ORLANDO INTL,AMERICAN AIRLINES,140.0,MD-80,Medium,Unknown bird - medium
112,1990-06-22,1990,6,22,Day,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,KC-10A,Medium,Unknown bird or bat
113,1990-06-23,1990,6,23,Day,None,1,Approach,Texas,HOUSTON-HOBBY,SOUTHWEST AIRLINES,250.0,B-737-300,Medium,Unknown bird - medium
114,1990-06-23,1990,6,23,Day,None,1,Landing Roll,Ohio,CLEVELAND-HOPKINS INTL ARPT,CONTINENTAL AIRLINES,110.0,B-737,Medium,American crow
115,1990-06-23,1990,6,23,Day,None,1,Landing Roll,Ohio,CLEVELAND-HOPKINS INTL ARPT,PSA AIRLINES,100.0,BA-31 JETSTR,Medium,American crow
116,1990-06-23,1990,6,23,Dusk,None,1,Take-off run,California,MINETA SAN JOSE INTL,AMERICAN AIRLINES,110.0,MD-80,Medium,Unknown bird - medium
117,1990-06-23,1990,6,23,Day,None,1,Climb,Ohio,PORT COLUMBUS INTL,UNKNOWN,,B-727,Small,Unknown bird - small
118,1990-06-26,1990,6,26,Night,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,160.0,KC-135,Medium,Unknown bird or bat
119,1990-06-26,1990,6,26,Day,None,1,Approach,Nebraska,EPPLEY AIRFIELD,UPS AIRLINES,140.0,MD-87,Small,Unknown bird - small
120,1990-06-27,1990,6,27,Day,None,1,Landing Roll,New Jersey,ATLANTIC CITY INTL,GOVERNMENT,40.0,CV-580,Medium,Unknown bird - medium
121,1990-06-28,1990,6,28,Day,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,130.0,B-727-200,Small,Unknown bird - small
122,1990-06-28,1990,6,28,Night,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,250.0,B-727-100,Small,Unknown bird - small
123,1990-06-30,1990,6,30,Day,None,1,Landing Roll,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,145.0,MD-80,Small,Unknown bird - small
124,1990-07-01,1990,7,1,Day,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,140.0,MD-80,Small,Unknown bird - small
125,1990-07-03,1990,7,3,Night,None,1,Approach,Hawaii,HONOLULU INTL ARPT,AMERICAN AIRLINES,137.0,DC-10-10,Medium,Unknown bird - medium
126,1990-07-03,1990,7,3,Day,None,1,Approach,Texas,GEORGE BUSH INTERCONTINENTAL,AMERICAN AIRLINES,140.0,B-727-200,Small,Unknown bird - small
127,1990-07-05,1990,7,5,Day,None,1,Approach,North Carolina,CHARLOTTE/DOUGLAS INTL ARPT,US AIRWAYS*,125.0,MD-80,Small,Unknown bird - small
128,1990-07-06,1990,7,6,Day,None,1,Take-off run,South Carolina,CHARLESTON AFB/INTL ARPT,AMERICAN AIRLINES,100.0,MD-80,Medium,Unknown bird - medium
129,1990-07-06,1990,7,6,Day,None,1,Approach,California,SACRAMENTO INTL,UNITED AIRLINES,125.0,B-737-200,Small,Unknown bird - small
130,1990-07-07,1990,7,7,Day,None,1,Take-off run,Kentucky,LOUISVILLE INTL ARPT,UNITED AIRLINES,140.0,B-737,Small,Unknown bird - small
131,1990-07-08,1990,7,8,Day,Minor,2,Take-off run,California,MINETA SAN JOSE INTL,AMERICAN AIRLINES,140.0,B-767,Medium,Unknown bird - medium
132,1990-07-08,1990,7,8,Day,None,1,Approach,Utah,SALT LAKE CITY INTL,AMERICAN AIRLINES,,MD-80,Medium,Unknown bird - medium
133,1990-07-08,1990,7,8,Day,None,1,Approach,North Carolina,CHARLOTTE/DOUGLAS INTL ARPT,US AIRWAYS*,134.0,FOKKER F100,Small,Unknown bird - small
134,1990-07-08,1990,7,8,Day,None,1,Climb,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,210.0,B-727,Small,Unknown bird - small
135,1990-07-09,1990,7,9,Day,None,1,Climb,Washington,SEATTLE-TACOMA INTL,NORTHWEST AIRLINES,200.0,DC-10,Medium,Unknown bird - medium
136,1990-07-10,1990,7,10,Day,None,1,Approach,Georgia,ATLANTA INTL,UNITED AIRLINES,,B-737,Medium,Unknown bird - medium
137,1990-07-10,1990,7,10,Night,None,1,Approach,Tennessee,MEMPHIS INTL,AMERICAN AIRLINES,130.0,MD-80,Small,Unknown bird - small
138,1990-07-11,1990,7,11,Day,Minor,2,Descent,Utah,SALT LAKE CITY INTL,DELTA AIR LINES,350.0,B-727,Large,Unknown bird - large
139,1990-07-11,1990,7,11,Dawn,None,1,Landing Roll,Georgia,ATLANTA INTL,DELTA AIR LINES,130.0,B-767,Small,European starling
140,1990-07-11,1990,7,11,Day,None,1,Approach,California,SAN FRANCISCO INTL ARPT,TRANS WORLD AIRLINES,,L-1011,Small,Unknown bird - small
141,1990-07-12,1990,7,12,Day,None,1,Approach,Ohio,CLEVELAND-HOPKINS INTL ARPT,BUSINESS,130.0,EMB-120,Small,American robin
142,1990-07-13,1990,7,13,Dawn,Substantial,4,Take-off run,Hawaii,LIHUE ARPT,ALOHA AIRLINES,85.0,B-737-300,Small,Short-eared owl
143,1990-07-13,1990,7,13,Day,None,1,Landing Roll,California,LOS ANGELES INTL,ALASKA AIRLINES,125.0,MD-80,Small,American kestrel
144,1990-07-15,1990,7,15,Night,None,1,Approach,Pennsylvania,GREATER PITTSBURGH,AMERICAN AIRLINES,160.0,MD-80,Medium,Unknown bird - medium
145,1990-07-15,1990,7,15,Dusk,None,1,Landing Roll,Tennessee,NASHVILLE INTL,AMERICAN AIRLINES,120.0,MD-80,Small,Unknown bird - small
146,1990-07-16,1990,7,16,Dusk,Minor,2,Climb,California,METRO OAKLAND INTL,US AIRWAYS*,130.0,BA-146-200,Large,Canada goose
147,1990-07-16,1990,7,16,Day,None,1,Approach,Missouri,KANSAS CITY INTL,AMERICAN AIRLINES,140.0,MD-80,Small,Unknown bird - small
148,1990-07-16,1990,7,16,Day,None,1,Climb,New Jersey,ATLANTIC CITY INTL,BUSINESS,120.0,B-727,Small,Laughing gull
149,1990-07-16,1990,7,16,Day,None,1,Climb,New Jersey,ATLANTIC CITY INTL,US AIRWAYS*,120.0,FOKKER F100,Small,Laughing gull
150,1990-07-17,1990,7,17,Day,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,130.0,MD-82,Small,Unknown bird - small
151,1990-07-17,1990,7,17,Day,None,1,Take-off run,New Jersey,ATLANTIC CITY INTL,BUSINESS,,B-727,Small,Laughing gull
152,1990-07-19,1990,7,19,Day,None,1,Take-off run,Pennsylvania,GREATER PITTSBURGH,AMERICAN AIRLINES,125.0,MD-80,Small,Unknown bird - small
153,1990-07-20,1990,7,20,Day,None,1,Climb,Georgia,ATLANTA INTL,TRANS WORLD AIRLINES,190.0,B-727,Medium,Unknown bird - medium
154,1990-07-21,1990,7,21,Day,None,1,Landing Roll,New Jersey,NEWARK LIBERTY INTL ARPT,FEDEX EXPRESS,,DC-10,Large,Unknown bird - large
155,1990-07-22,1990,7,22,Day,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,140.0,MD-80,Small,Unknown bird - small
156,1990-07-23,1990,7,23,Night,None,1,Landing Roll,Missouri,KANSAS CITY INTL,AMERICA WEST AIRLINES,120.0,B-737-300,Medium,Unknown bird - medium
157,1990-07-23,1990,7,23,Night,None,1,Take-off run,New Jersey,ATLANTIC CITY INTL,US AIRWAYS*,,FOKKER F100,Medium,Unknown bird - medium
158,1990-07-23,1990,7,23,Day,Minor,2,Climb,Ohio,CLEVELAND-HOPKINS INTL ARPT,AMERICAN AIRLINES,140.0,MD-80,Small,Unknown bird - small
159,1990-07-24,1990,7,24,Day,Minor,2,Climb,Missouri,LAMBERT-ST LOUIS INTL,AMERICAN AIRLINES,220.0,MD-82,Small,Unknown bird - small
160,1990-07-25,1990,7,25,Day,None,1,Approach,Kentucky,LOUISVILLE INTL ARPT,BUSINESS,120.0,HAWKER-SDLY HS125,Small,Unknown bird - small
161,1990-07-26,1990,7,26,Day,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,135.0,B-757-200,Medium,Unknown bird - medium
162,1990-07-26,1990,7,26,Day,None,1,Approach,Texas,GEORGE BUSH INTERCONTINENTAL,AMERICAN AIRLINES,130.0,B-727-100,Small,Unknown bird - small
163,1990-07-28,1990,7,28,Day,None,1,Take-off run,Texas,HOUSTON-HOBBY,SOUTHWEST AIRLINES,120.0,B-737-300,Medium,Unknown bird - medium
164,1990-07-29,1990,7,29,Day,None,1,Approach,California,MINETA SAN JOSE INTL,UNKNOWN,100.0,PA-23-250,Medium,Unknown bird - medium
165,1990-07-29,1990,7,29,Day,None,1,Climb,New Jersey,ATLANTIC CITY INTL,BUSINESS,,DC-9,Small,Laughing gull
166,1990-07-29,1990,7,29,Day,None,1,Climb,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,250.0,MD-82,Small,Unknown bird - small
167,1990-07-30,1990,7,30,Day,None,1,Approach,Pennsylvania,PHILADELPHIA INTL,UNITED AIRLINES,130.0,DC-8,Large,Canada goose
