,date,year,month,day,time_of_day,damage_level,damage_level_sort,flight_phase,state,airport,operator,speed,aircraft_model,bird_size,species
8851,2001-08-03,2001,8,3,Day,None,1,Climb,Texas,AUSTIN-BERGSTROM INTL,SOUTHWEST AIRLINES,,B-737,Medium,Unknown bird - medium
8852,2001-08-03,2001,8,3,Day,None,1,Take-off run,Indiana,INDIANAPOLIS INTL,ATLANTIC COAST AIRLINES,100.0,CL-RJ100/200,Medium,Unknown bird - medium
8853,2001-08-03,2001,8,3,Night,Substantial,4,Climb,Florida,ORLANDO INTL,ABX AIR,160.0,DC-8-63,Medium,Unknown bird - medium
8854,2001-08-03,2001,8,3,Day,None,1,Approach,North Carolina,CHARLOTTE/DOUGLAS INTL ARPT,US AIRWAYS*,,A-320,Small,Unknown bird - small
8855,2001-08-03,2001,8,3,Day,None,1,Approach,North Carolina,CHARLOTTE/DOUGLAS INTL ARPT,US AIRWAYS*,150.0,B-737-300,Small,Unknown bird - small
8856,2001-08-03,2001,8,3,Day,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,129.0,MD-83,Small,Unknown bird - small
8857,2001-08-03,2001,8,3,Night,None,1,Approach,Georgia,ATLANTA INTL,DELTA AIR LINES,135.0,MD-88,Small,Unknown bird - small
8858,2001-08-04,2001,8,4,Day,None,1,Take-off run,Missouri,LAMBERT-ST LOUIS INTL,TRANS WORLD AIRLINES,110.0,MD-82,Small,American kestrel
8859,2001-08-04,2001,8,4,Day,None,1,Take-off run,Tennessee,NASHVILLE INTL,DELTA AIR LINES,,B-727,Small,Unknown bird - small
8860,2001-08-04,2001,8,4,Night,None,1,Approach,Missouri,KANSAS CITY INTL,FEDEX EXPRESS,130.0,A-300,Small,Unknown bird - small
8861,2001-08-05,2001,8,5,Dusk,None,1,Landing Roll,Pennsylvania,PHILADELPHIA INTL,US AIRWAYS*,,B-737-300,Medium,Unknown bird - medium
8862,2001-08-05,2001,8,5,Day,Substantial,4,Climb,Florida,ORLANDO INTL,DELTA AIR LINES,170.0,B-737-200,Small,Mourning dove
8863,2001-08-05,2001,8,5,Day,None,1,Climb,Tennessee,MEMPHIS INTL,FEDEX EXPRESS,250.0,DC-10,Small,Unknown bird - small
8864,2001-08-05,2001,8,5,Night,None,1,Climb,Utah,SALT LAKE CITY INTL,SOUTHWEST AIRLINES,155.0,B-737-300,Small,Unknown bird - small
8865,2001-08-06,2001,8,6,Day,None,1,Take-off run,New York,JOHN F KENNEDY INTL,UNITED AIRLINES,,B-767-200,Small,Barn swallow
8866,2001-08-07,2001,8,7,Day,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,180.0,MD-83,Medium,Unknown bird - medium
8867,2001-08-07,2001,8,7,Day,None,1,Take-off run,Minnesota,MINNEAPOLIS-ST PAUL INTL,MESABA AIRLINES,100.0,SAAB-340,Medium,Unknown bird - medium
8868,2001-08-07,2001,8,7,Day,None,1,Landing Roll,Oregon,PORTLAND INTL (OR),UNITED AIRLINES,,B-737-300,Small,American kestrel
8869,2001-08-07,2001,8,7,Day,None,1,Landing Roll,Pennsylvania,GREATER PITTSBURGH,US AIRWAYS*,100.0,A-320,Small,Unknown bird - small
8870,2001-08-07,2001,8,7,Day,None,1,Take-off run,Missouri,LAMBERT-ST LOUIS INTL,TRANS WORLD AIRLINES,150.0,MD-83,Small,American kestrel
8871,2001-08-08,2001,8,8,Day,Minor,2,Approach,New Jersey,ATLANTIC CITY INTL,PRIVATELY OWNED,100.0,PA-28,Large,Canada goose
8872,2001-08-08,2001,8,8,Day,None,1,Descent,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,210.0,FOKKER F100,Medium,Unknown bird - medium
8873,2001-08-08,2001,8,8,Night,None,1,Approach,California,SACRAMENTO INTL,UNITED AIRLINES,,B-737-300,Medium,Unknown bird - medium
